file,d2,d1,a,b,baud,delta_fsk,file_delay_s,bit_reliability,dis_metric,etx,avg_rssi,ecc,fec,samples,error
4000_10_54_52_42k_ecc.txt,4000,10,54,52,42000,44.51566951566943,0,0,0,0,0,True,False,1,True
500_10_54_52_42k_ecc.txt,500,10,54,52,42000,44.51566951566943,0,0,0,0,0,True,False,1,True
1200_10_54_52_42k_ecc.txt,1200,10,54,52,42000,44.51566951566943,0,0,0,0,0,True,False,1,True
800_10_54_52_42k_ecc.txt,800,10,54,52,42000,44.51566951566943,0,0,0,0,0,True,False,1,True
1500_10_54_52_42k_ecc.txt,1500,10,54,52,42000,44.51566951566943,0,0,0,0,0,True,False,1,True
2700_10_54_52_42k_ecc.txt,2700,10,54,52,42000,44.51566951566943,0,0,0,0,0,True,False,1,True
2000_10_54_52_42k_ecc.txt,2000,10,54,52,42000,44.51566951566943,0,0,0,0,0,True,False,1,True
1000_10_54_52_42k_ecc.txt,1000,10,54,52,42000,44.51566951566943,0,0,0,0,0,True,False,1,True
